"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0016114"	1	"terpenoid biosynthetic process"	"The chemical reactions and pathways resulting in the formation of terpenoids, any member of a class of compounds characterized by an isoprenoid chemical structure."	"YPL069C"
"GO:0016125"	11	"sterol metabolic process"	"The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."	"YCR048W,YGR263C,YHR001W,YKL140W,YKR003W,YLL012W,YLR020C,YLR189C,YLR242C,YMR015C,YPR173C"
"GO:0016126"	28	"sterol biosynthetic process"	"The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."	"YER044C,YGL001C,YGL012W,YGR060W,YGR175C,YHR007C,YHR042W,YHR133C,YHR190W,YLR056W,YLR189C,YLR450W,YML008C,YML075C,YML126C,YMR015C,YMR134W,YMR202W,YMR208W,YMR220W,YNL111C,YNL156C,YNL231C,YNL264C,YNL280C,YNR043W,YOR237W,YPL117C"
"GO:0016180"	1	"snRNA processing"	"Any process involved in the conversion of a primary small nuclear RNA (snRNA) transcript into a mature snRNA molecule."	"YLR430W"
"GO:0016192"	149	"vesicle-mediated transport"	"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."	"YAL002W,YAL007C,YAL014C,YAL024C,YAL030W,YAL042W,YAR002C-A,YAR031W,YAR033W,YBL037W,YBL040C,YBL050W,YBL102W,YBR005W,YBR080C,YBR131W,YBR164C,YBR210W,YBR254C,YBR288C,YCR034W,YCR067C,YDL018C,YDL058W,YDL072C,YDL077C,YDL099W,YDL100C,YDL137W,YDL145C,YDL192W,YDL195W,YDL234C,YDR003W,YDR080W,YDR084C,YDR100W,YDR164C,YDR189W,YDR238C,YDR246W,YDR299W,YDR358W,YDR388W,YDR468C,YDR472W,YDR495C,YDR498C,YDR517W,YER031C,YER074W-A,YER083C,YER123W,YER136W,YER143W,YFL027C,YFL038C,YFR043C,YFR051C,YGL002W,YGL020C,YGL051W,YGL053W,YGL095C,YGL124C,YGL137W,YGL145W,YGL200C,YGL206C,YGL210W,YGL212W,YGR009C,YGR167W,YGR172C,YGR261C,YHL002W,YHL019C,YHL031C,YHR108W,YHR110W,YIL004C,YIL064W,YIL076W,YIL109C,YIL169C,YJL024C,YJR005W,YJR058C,YKL006C-A,YKL065C,YKL124W,YKL135C,YKL196C,YKR030W,YKR068C,YKR088C,YLR026C,YLR078C,YLR093C,YLR148W,YLR170C,YLR208W,YLR309C,YLR396C,YLR440C,YML001W,YML012W,YML067C,YML077W,YML097C,YMR017W,YMR040W,YMR071C,YMR183C,YMR192W,YMR197C,YMR231W,YMR292W,YNL049C,YNL258C,YNL263C,YNL287W,YNR006W,YNR026C,YOL018C,YOL062C,YOR016C,YOR036W,YOR070C,YOR075W,YOR094W,YOR106W,YOR115C,YOR164C,YOR216C,YOR311C,YOR326W,YOR327C,YOR370C,YPL010W,YPL085W,YPL195W,YPL218W,YPL232W,YPL249C,YPL259C,YPR028W,YPR095C,YPR181C"
"GO:0016197"	12	"endosomal transport"	"The directed movement of substances mediated by an endosome, a membrane-bounded organelle that carries materials enclosed in the lumen or located in the endosomal membrane."	"YBL047C,YDR358W,YHR108W,YIL105C,YIR006C,YKR007W,YKR019C,YLR083C,YNL047C,YNL084C,YPL045W,YPR173C"
"GO:0016226"	22	"iron-sulfur cluster assembly"	"The incorporation of iron and exogenous sulfur into a metallo-sulfur cluster."	"YCL017C,YDL120W,YDR267C,YER048W-A,YGL091C,YHR122W,YIL003W,YIL128W,YJR122W,YKL040C,YKL192C,YKR071C,YLL027W,YLR369W,YMR301C,YNL240C,YOR226C,YPL135W,YPL188W,YPL252C,YPR048W,YPR067W"
"GO:0016233"	6	"telomere capping"	"A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."	"YBL035C,YBR275C,YDL220C,YDR082W,YLR010C,YLR453C"
"GO:0016236"	69	"macroautophagy"	"The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure.  Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."	"YBL078C,YBR080C,YBR097W,YBR128C,YBR131W,YBR139W,YBR164C,YCR068W,YCR079W,YDL113C,YDL126C,YDL137W,YDL192W,YDR080W,YDR108W,YDR173C,YEL013W,YEL022W,YEL053C,YER157W,YFL038C,YFR021W,YGL124C,YGL167C,YGL168W,YGL180W,YGL212W,YGR120C,YGR188C,YHR171W,YIL098C,YIL109C,YIL165C,YJL178C,YJR031C,YKL006W,YKL037W,YKR068C,YKR103W,YLL001W,YLL042C,YLR001C,YLR211C,YLR240W,YLR262C,YLR305C,YLR356W,YLR360W,YLR417W,YML001W,YMR121C,YMR142C,YMR159C,YMR197C,YMR218C,YMR297W,YOR036W,YPL037C,YPL085W,YPL100W,YPL120W,YPL149W,YPL154C,YPL166W,YPL250C,YPR105C,YPR173C,YPR181C,YPR185W"
"GO:0016237"	11	"lysosomal microautophagy"	"The transfer of cytosolic components into the lysosomal compartment by direct invagination of the lysosomal membrane without prior sequestration into an autophagosome. The engulfing membranes fuse, resulting in the lysosomal delivery of the cargo wrapped in a single membrane derived from the invaginated lysosomal membrane. In S. cerevisiae, the vacuole is the lysosomal compartment."	"YBR077C,YBR109C,YDR089W,YER072W,YFL004W,YGL190C,YGR163W,YJL012C,YKR007W,YPL019C,YPL154C"
"GO:0016239"	13	"positive regulation of macroautophagy"	"Any process, such as recognition of nutrient depletion, that activates or increases the rate of macroautophagy to bring cytosolic macromolecules to the vacuole/lysosome for degradation."	"YDR477W,YDR484W,YFL024C,YGL215W,YKR020W,YLR431C,YNL127W,YNL289W,YNL330C,YOL138C,YOR115C,YOR244W,YPL031C"
"GO:0016241"	3	"regulation of macroautophagy"	"Any process that modulates the frequency, rate or extent of macroautophagy."	"YBL078C,YJL164C,YLR113W"
"GO:0016242"	8	"negative regulation of macroautophagy"	"Any process that stops, prevents, or reduces the frequency, rate or extent of macroautophagy."	"YHR071W,YHR082C,YJR066W,YKL203C,YLR079W,YLR173W,YOL001W,YPL031C"
"GO:0016255"	5	"attachment of GPI anchor to protein"	"A transamidation reaction that results in the cleavage of the polypeptide chain and the concomitant transfer of the GPI anchor to the newly formed carboxy-terminal amino acid of the anchored protein. The cleaved C-terminal contains the C-terminal GPI signal sequence of the newly synthesized polypeptide chain."	"YDR331W,YDR434W,YHR188C,YLR088W,YLR459W"
"GO:0016310"	199	"phosphorylation"	"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."	"YAL017W,YAL038W,YAR018C,YAR019C,YBL009W,YBL016W,YBL068W,YBL088C,YBL105C,YBR020W,YBR028C,YBR059C,YBR097W,YBR136W,YBR160W,YBR274W,YCL024W,YCL040W,YCR008W,YCR012W,YCR036W,YCR073C,YCR091W,YDL017W,YDL025C,YDL028C,YDL101C,YDL108W,YDL159W,YDL166C,YDL214C,YDL235C,YDR017C,YDR020C,YDR109C,YDR122W,YDR127W,YDR147W,YDR173C,YDR196C,YDR208W,YDR226W,YDR247W,YDR248C,YDR283C,YDR300C,YDR315C,YDR454C,YDR466W,YDR477W,YDR490C,YDR507C,YDR516C,YDR523C,YDR531W,YEL029C,YEL041W,YER052C,YER099C,YER123W,YER129W,YER170W,YFL029C,YFL033C,YFL053W,YFR007W,YFR014C,YFR019W,YFR053C,YGL021W,YGL059W,YGL119W,YGL158W,YGL179C,YGL180W,YGL253W,YGR040W,YGR052W,YGR092W,YGR188C,YGR194C,YGR205W,YGR240C,YGR262C,YHL007C,YHL011C,YHL032C,YHR025W,YHR033W,YHR079C,YHR082C,YHR102W,YHR135C,YHR205W,YIL035C,YIL042C,YIL095W,YIL107C,YIL147C,YJL054W,YJL057C,YJL087C,YJL095W,YJL100W,YJL106W,YJL128C,YJL141C,YJL164C,YJL165C,YJL187C,YJR049C,YJR057W,YJR066W,YJR105W,YKL024C,YKL048C,YKL067W,YKL101W,YKL116C,YKL126W,YKL139W,YKL161C,YKL166C,YKL168C,YKL171W,YKL181W,YKL198C,YKL203C,YLL019C,YLL035W,YLR096W,YLR113W,YLR133W,YLR240W,YLR248W,YLR260W,YLR345W,YLR362W,YLR410W,YLR446W,YML070W,YMR001C,YMR013C,YMR104C,YMR139W,YMR205C,YMR208W,YMR216C,YMR220W,YMR291W,YNL020C,YNL129W,YNL154C,YNL161W,YNL183C,YNL207W,YNL256W,YNL267W,YNL298W,YNL307C,YNR012W,YNR027W,YNR031C,YNR047W,YOL016C,YOL045W,YOL055C,YOL061W,YOL100W,YOL113W,YOL128C,YOL136C,YOR061W,YOR119C,YOR143C,YOR171C,YOR231W,YOR267C,YOR311C,YOR347C,YOR351C,YPL026C,YPL031C,YPL042C,YPL140C,YPL141C,YPL150W,YPL153C,YPL188W,YPL203W,YPL204W,YPL209C,YPL214C,YPL236C,YPL258C,YPR054W,YPR106W,YPR111W,YPR161C"
"GO:0016311"	14	"dephosphorylation"	"The process of removing one or more phosphoric (ester or anhydride) residues from a molecule."	"YBR276C,YDL230W,YDR481C,YER075C,YGR203W,YGR208W,YIL113W,YIR026C,YJR110W,YNL010W,YNL053W,YNL108C,YOR208W,YOR283W"
"GO:0016320"	3	"endoplasmic reticulum membrane fusion"	"The joining of 2 or more lipid bilayer membranes that surround the endoplasmic reticulum."	"YDL126C,YOR075W,YOR165W"
"GO:0016479"	8	"negative regulation of transcription by RNA polymerase I"	"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase I."	"YDL076C,YFR028C,YMR263W,YNL097C,YNL330C,YOL004W,YOR119C,YPL139C"
"GO:0016480"	5	"negative regulation of transcription by RNA polymerase III"	"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase III."	"YBL008W,YDR005C,YDR397C,YLL019C,YOR038C"
"GO:0016482"	2	"cytosolic transport"	"The directed movement of substances or organelles within the cytosol."	"YDR358W,YHR108W"
"GO:0016485"	13	"protein processing"	"Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein."	"YCL052C,YDR430C,YER078C,YHR028C,YJL156C,YJR117W,YLR120C,YMR154C,YMR274C,YNL238W,YOR030W,YOR275C,YPR122W"
"GO:0016539"	2	"intein-mediated protein splicing"	"The removal of an internal amino acid sequence (an intein) from a protein during protein maturation; the excision of inteins is precise and the N- and C-terminal exteins are joined by a normal peptide bond. Protein splicing involves 4 nucleophilic displacements by the 3 conserved splice junction residues."	"YDL185W,YDL227C"
"GO:0016540"	2	"protein autoprocessing"	"Processing which a protein carries out itself. This involves actions such as the autolytic removal of residues to generate the mature form of the protein."	"YJL156C,YNL169C"
"GO:0016556"	1	"mRNA modification"	"The covalent alteration of one or more nucleotides within an mRNA molecule to produce an mRNA molecule with a sequence that differs from that coded genetically."	"YNL132W"
"GO:0016558"	16	"protein import into peroxisome matrix"	"The import of proteins into the peroxisomal matrix. A peroxisome targeting signal (PTS) binds to a soluble receptor protein in the cytosol, and the resulting complex then binds to a receptor protein in the peroxisome membrane and is imported. The cargo protein is then released into the peroxisome matrix."	"YDL022W,YDR142C,YDR244W,YDR265W,YER048C,YGR077C,YGR239C,YHR160C,YIR004W,YJL210W,YKL197C,YMR018W,YMR026C,YNL329C,YOL126C,YPL112C"
"GO:0016559"	9	"peroxisome fission"	"The division of a mature peroxisome within a cell to form two or more separate peroxisome compartments."	"YFR004W,YIL065C,YJL112W,YKR001C,YKR036C,YLL001W,YOL147C,YOR193W,YPL112C"
"GO:0016560"	6	"protein import into peroxisome matrix, docking"	"The process in which a complex formed of a peroxisome targeting sequence (PTS) receptor bound to a PTS-bearing protein docks with translocation machinery in the peroxisomal membrane."	"YDR142C,YDR244W,YGL153W,YLR191W,YMR018W,YNL214W"
"GO:0016562"	8	"protein import into peroxisome matrix, receptor recycling"	"The process in which peroxisome targeting sequence receptors dissociates from cargo proteins and are returned to the cytosol."	"YAL055W,YDR265W,YGR133W,YJL210W,YKL197C,YMR026C,YNL329C,YOL044W"
"GO:0016567"	92	"protein ubiquitination"	"The process in which one or more ubiquitin groups are added to a protein."	"YAL020C,YAR007C,YBL084C,YBR062C,YBR082C,YBR165W,YBR280C,YCR066W,YDL008W,YDL013W,YDL074C,YDL132W,YDL165W,YDL190C,YDR054C,YDR059C,YDR092W,YDR118W,YDR131C,YDR139C,YDR177W,YDR255C,YDR260C,YDR265W,YDR266C,YDR306C,YDR313C,YDR457W,YEL012W,YER068W,YER100W,YER116C,YER125W,YFL009W,YFR036W,YGL058W,YGR003W,YGR072W,YGR133W,YGR184C,YHL010C,YHR115C,YHR166C,YIL030C,YIL046W,YIL097W,YIL148W,YIR025W,YJL047C,YJL149W,YJL173C,YJL210W,YJR036C,YJR090C,YKL022C,YKL034W,YKL054C,YKL059C,YKL210W,YKR017C,YKR094C,YLL036C,YLL039C,YLR024C,YLR097C,YLR102C,YLR127C,YLR167W,YLR224W,YLR352W,YLR368W,YML068W,YML088W,YML111W,YMR026C,YMR080C,YMR119W,YMR247C,YMR275C,YNL008C,YNL116W,YNL172W,YNL311C,YNL312W,YOL013C,YOL133W,YOR080W,YOR249C,YOR339C,YPL054W,YPR072W,YPR093C"
"GO:0016570"	3	"histone modification"	"The covalent alteration of one or more amino acid residues within a histone protein."	"YBR279W,YLR418C,YOR123C"
"GO:0016573"	14	"histone acetylation"	"The modification of a histone by the addition of an acetyl group."	"YBL052C,YDR167W,YDR190C,YJL115W,YJR082C,YLL002W,YMR127C,YNL107W,YNL136W,YOR213C,YOR244W,YPL001W,YPL129W,YPL235W"
"GO:0016574"	2	"histone ubiquitination"	"The modification of histones by addition of ubiquitin groups."	"YGL058W,YGL131C"
"GO:0016575"	16	"histone deacetylation"	"The modification of histones by removal of acetyl groups."	"YAL013W,YBR095C,YBR103W,YBR195C,YDL076C,YDR295C,YEL056W,YGL194C,YIL084C,YNL021W,YNL330C,YOR229W,YOR230W,YPL139C,YPR068C,YPR179C"
"GO:0016578"	3	"histone deubiquitination"	"The modification of histones by removal of ubiquitin groups."	"YBR111W-A,YNL186W,YPL047W"
"GO:0016579"	22	"protein deubiquitination"	"The removal of one or more ubiquitin groups from a protein."	"YBL067C,YBR058C,YDL122W,YDR069C,YER098W,YER144C,YER151C,YFL044C,YFR004W,YFR010W,YHL013C,YIL156W,YJL197W,YJR099W,YKR098C,YMR304W,YNL186W,YNR051C,YOR124C,YOR138C,YPL072W,YPL084W"
"GO:0016598"	1	"protein arginylation"	"The conjugation of arginine to the N-terminal aspartate or glutamate of a protein; required for the degradation of the protein via the ubiquitin pathway."	"YGL017W"
"GO:0016925"	13	"protein sumoylation"	"The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxy-terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein."	"YDL013W,YDL064W,YDR390C,YDR409W,YDR510W,YEL019C,YER116C,YHR134W,YLR394W,YLR445W,YNL077W,YOR156C,YPR180W"
"GO:0016926"	2	"protein desumoylation"	"The process in which a SUMO protein (small ubiquitin-related modifier) is cleaved from its target protein."	"YIL031W,YPL020C"
"GO:0016973"	34	"poly(A)+ mRNA export from nucleus"	"The directed movement of poly(A)+ mRNA out of the nucleus into the cytoplasm."	"YAR002W,YBR111W-A,YBR247C,YCL011C,YDL207W,YDR192C,YER063W,YER107C,YER125W,YFR002W,YGL092W,YGL097W,YGL122C,YGL172W,YGR116W,YIL115C,YIL143C,YIL149C,YJL041W,YJR084W,YKL186C,YKL214C,YKR082W,YKR095W,YLR335W,YMR047C,YMR304W,YNL004W,YOL072W,YOR046C,YOR098C,YPL169C,YPL226W,YPR133C"
"GO:0017004"	1	"cytochrome complex assembly"	"The aggregation, arrangement and bonding together of a cytochrome complex. A cytochrome complex is a protein complex in which at least one of the proteins is a cytochrome, i.e. a heme-containing protein involved in catalysis of redox reactions."	"YKL208W"
"GO:0017121"	2	"plasma membrane phospholipid scrambling"	"The movement of a population of phospholipid molecules from one leaflet of the plasma membrane bilayer to the opposite leaflet, resulting in loss of lipid asymmetry and surface exposure of phosphatidylserine (PS) and phosphatidylethanolamine (PE)."	"YDL149W,YJR100C"
"GO:0017126"	1	"nucleologenesis"	"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a nucleolus, a small, dense body one or more of which are present in the nucleus of eukaryotic cells."	"YPL157W"
"GO:0017148"	22	"negative regulation of translation"	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."	"YDL160C,YDR206W,YDR293C,YDR432W,YDR477W,YDR496C,YFR001W,YGL014W,YGL178W,YHL034C,YIL133C,YJR091C,YKL204W,YLL013C,YLR150W,YMR116C,YNL069C,YNL091W,YNL288W,YOR150W,YOR276W,YPR042C"
"GO:0017157"	6	"regulation of exocytosis"	"Any process that modulates the frequency, rate or extent of exocytosis."	"YBL106C,YDR126W,YFL005W,YJL145W,YMR192W,YPR032W"
"GO:0017183"	8	"peptidyl-diphthamide biosynthetic process from peptidyl-histidine"	"The modification of peptidyl-histidine to 2'-(3-carboxamido-3-(trimethylammonio)propyl)-L-histidine, known as diphthamide, found in translation elongation factor EF-2. The process occurs in eukaryotes and archaea but not eubacteria."	"YBL071W-A,YBR246W,YIL043C,YIL103W,YJR097W,YKL191W,YLR143W,YLR172C"
"GO:0017186"	1	"peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase"	"The chemical reactions and pathways resulting in the formation of peptidyl-pyroglutamic acid, catalyzed by glutaminyl-peptide cyclotransferase."	"YFR018C"
"GO:0017196"	6	"N-terminal peptidyl-methionine acetylation"	"The acetylation of the N-terminal methionine of proteins to form the derivative N-acetyl-L-methionine."	"YDL040C,YEL053C,YGR147C,YOL076W,YPR051W,YPR131C"
"GO:0017198"	1	"N-terminal peptidyl-serine acetylation"	"The acetylation of the N-terminal serine of proteins to form the derivative N-acetyl-L-serine."	"YIR042C"
"GO:0018008"	1	"N-terminal peptidyl-glycine N-myristoylation"	"The myristoylation of the N-terminal glycine of proteins to form the derivative N-myristoyl-glycine."	"YLR195C"
"GO:0018013"	1	"N-terminal peptidyl-glycine methylation"	"The methylation of the N-terminal glycine of proteins to form the derivative N-methylglycine."	"YLR285W"
"GO:0018016"	1	"N-terminal peptidyl-proline dimethylation"	"The methylation of the N-terminal proline of proteins to form the derivative N,N-dimethyl-L-proline."	"YBR261C"
"GO:0018022"	4	"peptidyl-lysine methylation"	"The methylation of peptidyl-lysine to form either the mono-, di- or trimethylated derivative."	"YDR257C,YHL039W,YHR109W,YIL064W"
"GO:0018023"	4	"peptidyl-lysine trimethylation"	"The methylation of peptidyl-lysine to form peptidyl-N6,N6,N6-trimethyl-L-lysine."	"YDR198C,YGR001C,YHR109W,YJR129C"
"GO:0018026"	6	"peptidyl-lysine monomethylation"	"The methylation of peptidyl-lysine to form peptidyl-N6-methyl-L-lysine."	"YBR030W,YDR198C,YDR257C,YHL039W,YHR109W,YPL208W"
"GO:0018027"	3	"peptidyl-lysine dimethylation"	"The methylation of peptidyl-lysine to form peptidyl-N6,N6-dimethyl-L-lysine."	"YHL039W,YLR285W,YPL208W"
"GO:0018063"	3	"cytochrome c-heme linkage"	"The linkage of cytochromes and other heme proteins to heme."	"YAL039C,YKL087C,YOR037W"
"GO:0018105"	29	"peptidyl-serine phosphorylation"	"The phosphorylation of peptidyl-serine to form peptidyl-O-phospho-L-serine."	"YBL105C,YBR028C,YDL017W,YDL028C,YDR466W,YDR490C,YER123W,YFL033C,YGL180W,YGR092W,YHR135C,YHR205W,YIL035C,YJL141C,YJL164C,YJR066W,YKL126W,YKL166C,YKL171W,YMR216C,YMR291W,YNL154C,YNL161W,YOL100W,YOR061W,YPL203W,YPL204W,YPR106W,YPR111W"
"GO:0018107"	4	"peptidyl-threonine phosphorylation"	"The phosphorylation of peptidyl-threonine to form peptidyl-O-phospho-L-threonine."	"YIL035C,YJL141C,YOR061W,YPR106W"
"GO:0018117"	1	"protein adenylylation"	"The addition of an adenylyl group (adenosine 5'-monophosphate; AMP) to a protein amino acid."	"YHR111W"
"GO:0018130"	1	"heterocycle biosynthetic process"	"The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."	"YGR286C"
"GO:0018131"	1	"oxazole or thiazole biosynthetic process"	"The chemical reactions and pathways resulting in the formation of oxazole or thiazole, five-membered heterocyclic ring structures containing an oxygen and a sulfur, respectively, in the 1-position and a nitrogen in the 3-position."	"YGR144W"
"GO:0018142"	1	"protein-DNA covalent cross-linking"	"The formation of a covalent cross-link between DNA and a protein."	"YMR114C"
"GO:0018158"	1	"protein oxidation"	"The modification of a protein amino acid by oxidation."	"YBR216C"
"GO:0018160"	1	"peptidyl-pyrromethane cofactor linkage"	"The covalent binding of a pyrromethane (dipyrrin) cofactor to protein via the sulfur atom of cysteine forming dipyrrolylmethanemethyl-L-cysteine."	"YDL205C"
"GO:0018188"	1	"peptidyl-proline di-hydroxylation"	"The modification of peptidyl-proline to form trans-2,3-cis-3,4-dihydroxy-L-proline."	"YER049W"
"GO:0018216"	4	"peptidyl-arginine methylation"	"The addition of a methyl group to an arginine residue in a protein."	"YBR034C,YBR133C,YDR465C,YOR021C"
"GO:0018230"	6	"peptidyl-L-cysteine S-palmitoylation"	"The covalent attachment of a palmitoyl group to a sulfur (S) atom within a cysteine residue to form peptidyl-S-palmitoyl-L-cysteine."	"YDR126W,YDR459C,YLR246W,YNL326C,YOL003C,YOL110W"
"GO:0018279"	6	"protein N-linked glycosylation via asparagine"	"The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification."	"YEL002C,YGL022W,YJL002C,YML019W,YOR085W,YOR336W"
"GO:0018283"	1	"iron incorporation into metallo-sulfur cluster"	"The incorporation of iron into a metallo-sulfur cluster."	"YDL120W"
"GO:0018293"	1	"protein-FAD linkage"	"The formation of a linkage between a protein amino acid and flavin-adenine dinucleotide (FAD)."	"YOL071W"
"GO:0018342"	1	"protein prenylation"	"The covalent attachment of a prenyl group to a protein; geranyl, farnesyl, or geranylgeranyl groups may be added."	"YKL019W"
"GO:0018343"	2	"protein farnesylation"	"The covalent attachment of a farnesyl group to a protein."	"YDL090C,YKL019W"
"GO:0018344"	6	"protein geranylgeranylation"	"The covalent attachment of a geranylgeranyl group to a protein."	"YGL155W,YJL031C,YKL019W,YKR004C,YOR370C,YPR176C"
"GO:0018345"	8	"protein palmitoylation"	"The covalent attachment of a palmitoyl group to a protein."	"YDR126W,YDR264C,YDR459C,YLR246W,YNL326C,YOL003C,YOL110W,YOR034C"
"GO:0018364"	2	"peptidyl-glutamine methylation"	"The addition of a methyl group to a glutamine residue in a protein."	"YDR140W,YNR046W"
"GO:0018393"	1	"internal peptidyl-lysine acetylation"	"The addition of an acetyl group to a non-terminal lysine residue in a protein."	"YFR027W"
"GO:0018890"	2	"cyanamide metabolic process"	"The chemical reactions and pathways involving cyanamide, NCNH2, a cyanide compound which has been used as a fertilizer, defoliant and in many manufacturing processes. It often occurs as the calcium salt, sometimes also referred to as cyanamide. The citrated calcium salt is used in the treatment of alcoholism."	"YFL061W,YNL335W"
"GO:0018909"	1	"dodecyl sulfate metabolic process"	"The chemical reactions and pathways involving dodecyl sulfate, commonly found as sodium dodecyl sulfate (SDS), a component of a variety of synthetic surfactants."	"YOL164W"
"GO:0019220"	2	"regulation of phosphate metabolic process"	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."	"YDR374C,YER125W"
"GO:0019222"	1	"regulation of metabolic process"	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."	"YGL150C"
"GO:0019236"	29	"response to pheromone"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pheromone stimulus."	"YCL032W,YCR089W,YDL159W,YDL214C,YDR103W,YDR183W,YDR410C,YFL026W,YGL097W,YHL007C,YHR005C,YHR084W,YIL015W,YJR086W,YKL116C,YKL178C,YKL209C,YLR229C,YLR362W,YLR389C,YLR452C,YMR274C,YNL298W,YNR044W,YOR127W,YOR212W,YOR219C,YOR281C,YPL161C"
"GO:0019240"	3	"citrulline biosynthetic process"	"The chemical reactions and pathways resulting in the formation of citrulline, N5-carbamoyl-L-ornithine, an alpha amino acid not found in proteins."	"YJL088W,YJL130C,YJR109C"
"GO:0019243"	7	"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione"	"The chemical reactions and pathways resulting in the breakdown of methylglyoxal, CH3-CO-CHO, into D-lactate via the intermediate S-lactoyl-glutathione. Glutathione is used in the first step of the pathway and then regenerated in the second step."	"YDR272W,YDR533C,YML004C,YMR322C,YOR040W,YOR391C,YPL280W"
"GO:0019249"	5	"lactate biosynthetic process"	"The chemical reactions and pathways resulting in the formation of lactate, the anion of lactic acid."	"YDR533C,YEL071W,YMR322C,YOR391C,YPL280W"
"GO:0019255"	2	"glucose 1-phosphate metabolic process"	"The chemical reactions and pathways involving glucose 1-phosphate, a monophosphorylated derivative of glucose with the phosphate group attached to C-1."	"YKL127W,YMR105C"
"GO:0019264"	2	"glycine biosynthetic process from serine"	"The chemical reactions and pathways resulting in the formation of glycine from other compounds, including serine."	"YBR263W,YLR058C"
"GO:0019265"	1	"glycine biosynthetic process, by transamination of glyoxylate"	"The chemical reactions and pathways resulting in the formation of glycine by the transamination of glyoxylate."	"YFL030W"
"GO:0019284"	4	"L-methionine salvage from S-adenosylmethionine"	"The chemical reactions and pathways resulting in the formation of L-methionine from S-adenosylmethionine."	"YEL038W,YJR024C,YPL273W,YPR118W"
"GO:0019287"	4	"isopentenyl diphosphate biosynthetic process, mevalonate pathway"	"The chemical reactions and pathways resulting in the formation of isopentenyl diphosphate, via the intermediate mevalonate. This pathway converts acetate, in the form of acetyl-CoA, to isopentenyl diphosphate (IPP), the fundamental unit in isoprenoid biosynthesis, through a series of mevalonate intermediates."	"YML075C,YMR208W,YMR220W,YNR043W"
"GO:0019303"	1	"D-ribose catabolic process"	"The chemical reactions and pathways resulting in the breakdown of D-ribose (ribo-pentose)."	"YCR036W"
"GO:0019309"	1	"mannose catabolic process"	"The chemical reactions and pathways resulting in the breakdown of mannose, the aldohexose manno-hexose, the C-2 epimer of glucose."	"YGL156W"
"GO:0019318"	7	"hexose metabolic process"	"The chemical reactions and pathways involving a hexose, any monosaccharide with a chain of six carbon atoms in the molecule."	"YBR019C,YCL040W,YDL246C,YDR516C,YFR053C,YGL253W,YJR159W"
"GO:0019320"	1	"hexose catabolic process"	"The chemical reactions and pathways resulting in the breakdown of hexose, any monosaccharide with a chain of six carbon atoms in the molecule."	"YJR030C"
